DBR,usia,jeniskelamin,marital_status,duration_job,pekerjaan,pendidikan,status
0.217740432,31,pria,menikah,15,Karyawan Swasta,Sarjana,1
0.196980012,25,pria,single,13,Karyawan Swasta,Sarjana,1
0.23158596,39,pria,menikah,11,PNS,Sarjana,1
0.249182322,34,wanita,single,12,Karyawan Swasta,<= SMA,1
0.208304036,36,pria,menikah,8,Lainnya,Lainnya,1
0.21943165,30,pria,menikah,7,Karyawan Swasta,Pascasarjana,0
0.21689881,36,pria,single,10,Lainnya,<= SMA,1
0.251595057,31,pria,menikah,14,Wirausaha,Sarjana,1
0.229867346,34,wanita,menikah,10,Lainnya,Pascasarjana,1
0.192551116,34,pria,menikah,20,Lainnya,Pascasarjana,1
0.202974727,32,wanita,menikah,8,Wirausaha,<= SMA,0
0.214707437,42,pria,single,2,PNS,<= SMA,1
0.233909038,30,pria,menikah,11,Karyawan Swasta,<= SMA,0
0.226932026,31,pria,single,9,Karyawan Swasta,Sarjana,1
0.193528523,42,pria,single,16,Karyawan Swasta,<= SMA,1
0.235323683,36,pria,menikah,4,Wirausaha,<= SMA,0
0.234887911,27,pria,menikah,12,Karyawan Swasta,Sarjana,1
0.231118597,39,pria,single,12,Lainnya,Lainnya,1
0.175228001,35,pria,menikah,1,PNS,<= SMA,1
0.236579729,39,wanita,menikah,7,Wirausaha,Sarjana,1
0.3,29,wanita,menikah,7,Karyawan Swasta,Sarjana,0
0.19641695,29,wanita,single,7,Wirausaha,<= SMA,1
0.255052695,35,wanita,menikah,22,Wirausaha,Lainnya,1
0.245993336,27,pria,menikah,9,Karyawan Swasta,Sarjana,0
0.212147985,29,pria,menikah,14,Wirausaha,<= SMA,1
0.248098467,46,wanita,single,3,Lainnya,<= SMA,0
0.181889179,33,wanita,menikah,10,Karyawan Swasta,<= SMA,1
0.240147302,33,pria,single,5,Lainnya,Pascasarjana,1
0.246839325,32,wanita,menikah,9,Lainnya,<= SMA,0
0.266904562,47,pria,menikah,12,PNS,Sarjana,1
0.224350378,36,pria,menikah,13,Wirausaha,Sarjana,1
0.250983852,38,pria,menikah,3,Karyawan Swasta,Lainnya,1
0.210503771,26,pria,menikah,8,Wirausaha,Sarjana,0
0.217198382,43,wanita,lainnya,11,Karyawan Swasta,Sarjana,1
0.182340992,24,pria,menikah,5,PNS,<= SMA,0
0.235883759,30,wanita,single,8,Lainnya,Sarjana,1
0.219974676,43,wanita,menikah,10,Lainnya,Lainnya,1
0.261865582,31,wanita,single,8,PNS,<= SMA,0
0.209536304,32,wanita,menikah,13,Karyawan Swasta,<= SMA,0
0.193203524,24,pria,menikah,12,Lainnya,<= SMA,0
0.21574242,32,pria,lainnya,11,PNS,Lainnya,0
0.272851686,35,pria,menikah,10,Lainnya,Lainnya,1
0.23577235,47,pria,menikah,13,Wirausaha,<= SMA,0
0.229143404,22,wanita,single,17,Wirausaha,<= SMA,1
0.224223652,39,pria,single,3,PNS,Pascasarjana,1
0.274485104,29,pria,single,5,Wirausaha,Sarjana,1
0.237061871,43,pria,single,8,Lainnya,<= SMA,1
0.233509985,29,pria,menikah,12,Wirausaha,Sarjana,1
0.192419896,32,pria,menikah,11,PNS,<= SMA,1
0.203359973,31,wanita,menikah,7,Lainnya,<= SMA,0
0.237706311,46,pria,single,5,Karyawan Swasta,Pascasarjana,1
0.19995134,26,wanita,single,16,Karyawan Swasta,<= SMA,1
0.241994422,38,pria,menikah,4,Lainnya,Pascasarjana,1
0.202599858,35,pria,menikah,12,Wirausaha,Sarjana,1
0.233305751,33,pria,single,8,Wirausaha,<= SMA,0
0.258684548,36,pria,single,12,Wirausaha,Pascasarjana,1
0.18172343,26,pria,single,14,Wirausaha,Sarjana,1
0.239464437,27,pria,menikah,13,Karyawan Swasta,<= SMA,0
0.3,24,pria,single,4,Wirausaha,<= SMA,0
0.20627481,34,pria,menikah,8,Lainnya,Sarjana,0
0.246331411,27,pria,menikah,6,PNS,Pascasarjana,0
0.219239201,39,pria,menikah,11,Karyawan Swasta,Pascasarjana,1
0.267354412,39,pria,single,7,Karyawan Swasta,Sarjana,1
0.26613485,37,pria,lainnya,12,Lainnya,Pascasarjana,1
0.216343678,35,wanita,menikah,10,Karyawan Swasta,Pascasarjana,1
0.222000946,28,wanita,lainnya,22,Lainnya,Sarjana,1
0.214179282,23,pria,menikah,7,Wirausaha,Sarjana,1
0.279392865,41,pria,lainnya,5,Lainnya,Pascasarjana,1
0.203664623,32,pria,menikah,10,PNS,Sarjana,1
0.231589159,39,pria,single,11,Wirausaha,Sarjana,1
0.1892691,46,pria,menikah,15,PNS,Sarjana,1
0.249828804,33,pria,single,4,Lainnya,Sarjana,1
0.238694517,37,wanita,menikah,4,PNS,<= SMA,1
0.272135404,36,pria,menikah,7,Lainnya,Sarjana,1
0.225833756,31,pria,single,7,Wirausaha,<= SMA,1
0.217316737,30,pria,menikah,3,Wirausaha,<= SMA,0
0.235276551,33,pria,menikah,16,PNS,Sarjana,1
0.27234286,36,wanita,menikah,14,Lainnya,Pascasarjana,1
0.251856221,27,pria,menikah,10,Lainnya,<= SMA,0
0.240151647,39,pria,menikah,3,Wirausaha,<= SMA,0
0.26530565,45,wanita,menikah,15,PNS,Pascasarjana,1
0.237596783,40,pria,menikah,11,Karyawan Swasta,Sarjana,1
0.220200739,41,pria,lainnya,5,Karyawan Swasta,Lainnya,1
0.271967256,35,wanita,menikah,8,Karyawan Swasta,Pascasarjana,1
0.242420413,32,pria,menikah,8,Wirausaha,Pascasarjana,0
0.226870991,29,pria,menikah,7,Karyawan Swasta,Lainnya,0
0.228496543,36,wanita,menikah,10,Wirausaha,Sarjana,1
0.16836683,38,pria,menikah,5,Wirausaha,Sarjana,1
0.201269151,24,pria,menikah,15,Lainnya,<= SMA,1
0.293478165,35,pria,menikah,10,Karyawan Swasta,<= SMA,1
0.290678378,30,pria,lainnya,28,Lainnya,Sarjana,0
0.178396539,26,wanita,single,7,Karyawan Swasta,Sarjana,1
0.243901435,34,pria,menikah,7,Karyawan Swasta,Lainnya,0
0.225794396,40,pria,menikah,16,Lainnya,Sarjana,1
0.227408482,32,pria,menikah,7,PNS,Sarjana,0
0.244070761,37,wanita,single,7,Lainnya,Lainnya,1
0.243362279,38,pria,menikah,12,Wirausaha,Sarjana,1
0.254880171,37,pria,single,3,PNS,Pascasarjana,1
0.219387783,37,wanita,menikah,3,Karyawan Swasta,Sarjana,1
0.292213919,37,pria,menikah,6,Karyawan Swasta,Sarjana,1
0.192648689,24,pria,menikah,5,Lainnya,Sarjana,0
0.235118802,30,pria,menikah,4,Wirausaha,<= SMA,0
0.227150624,32,pria,menikah,10,Wirausaha,Lainnya,1
0.255826213,31,pria,single,18,Wirausaha,Pascasarjana,1
0.234120465,39,wanita,single,4,Lainnya,<= SMA,1
0.235991086,42,wanita,single,13,PNS,<= SMA,1
0.241758776,39,wanita,menikah,11,PNS,<= SMA,1
0.170712544,43,pria,single,12,Wirausaha,Lainnya,1
0.260918726,26,wanita,menikah,10,Karyawan Swasta,Sarjana,0
0.266362842,36,pria,menikah,8,Karyawan Swasta,Pascasarjana,1
0.252521115,33,wanita,single,10,Wirausaha,Lainnya,1
0.222142937,37,wanita,single,9,Lainnya,Pascasarjana,1
0.223895605,28,pria,menikah,8,Karyawan Swasta,Lainnya,0
0.226658453,31,pria,menikah,13,Wirausaha,<= SMA,0
0.285623578,32,wanita,single,8,Wirausaha,Lainnya,0
0.216392003,38,wanita,menikah,13,Lainnya,<= SMA,1
0.238759648,28,pria,lainnya,14,Wirausaha,Sarjana,1
0.189337322,36,wanita,menikah,16,Lainnya,<= SMA,1
0.279494309,36,wanita,menikah,12,Karyawan Swasta,Sarjana,1
0.237259221,26,wanita,menikah,15,PNS,<= SMA,1
0.247083471,34,pria,single,20,Wirausaha,Pascasarjana,1
0.22121308,40,pria,menikah,11,Wirausaha,Sarjana,1
0.243786227,45,pria,menikah,13,PNS,Lainnya,0
0.262180453,33,pria,single,13,PNS,Pascasarjana,1
0.239840005,36,pria,single,11,Lainnya,Sarjana,1
0.211448514,45,pria,lainnya,8,Wirausaha,Sarjana,1
0.207016155,41,wanita,single,10,PNS,Sarjana,1
0.193586559,33,pria,single,6,Karyawan Swasta,Lainnya,1
0.236873157,35,wanita,menikah,10,Karyawan Swasta,<= SMA,1
0.211352994,34,wanita,menikah,11,Wirausaha,<= SMA,1
0.215923883,32,wanita,menikah,11,Karyawan Swasta,<= SMA,0
0.253861464,52,pria,menikah,8,Karyawan Swasta,Pascasarjana,0
0.261302783,53,wanita,menikah,6,Karyawan Swasta,Pascasarjana,0
0.235642276,34,pria,menikah,10,Lainnya,<= SMA,1
0.230189497,43,pria,lainnya,9,Wirausaha,<= SMA,1
0.215842545,28,pria,menikah,12,Karyawan Swasta,Pascasarjana,1
0.263763152,29,wanita,menikah,11,Wirausaha,Pascasarjana,0
0.189646306,29,wanita,single,3,Wirausaha,<= SMA,0
0.192087791,38,pria,menikah,5,PNS,Sarjana,1
0.233198717,35,pria,menikah,11,Lainnya,<= SMA,1
0.237870348,33,wanita,menikah,5,PNS,Sarjana,0
0.244774158,46,pria,menikah,8,Lainnya,Sarjana,1
0.207571246,38,pria,single,11,Wirausaha,<= SMA,1
0.256962308,28,wanita,single,11,Wirausaha,Sarjana,1
0.197598937,31,pria,single,15,Karyawan Swasta,Sarjana,1
0.220342228,29,wanita,menikah,5,Wirausaha,Sarjana,0
0.266976971,27,pria,lainnya,2,Wirausaha,Sarjana,0
0.2820523,24,wanita,single,18,Wirausaha,Sarjana,1
0.231361029,30,pria,menikah,10,Wirausaha,Pascasarjana,1
0.251337513,46,wanita,single,6,PNS,<= SMA,0
0.203785383,35,wanita,menikah,4,PNS,Lainnya,1
0.253937094,31,pria,menikah,17,PNS,Sarjana,1
0.233320352,27,pria,menikah,13,Wirausaha,Lainnya,0
0.270496129,37,pria,single,22,Wirausaha,<= SMA,1
0.229570939,30,pria,lainnya,5,Lainnya,Sarjana,0
0.18093907,40,pria,menikah,5,Karyawan Swasta,<= SMA,1
0.202539172,32,pria,single,7,PNS,<= SMA,0
0.239419312,36,pria,menikah,14,Wirausaha,Sarjana,1
0.234190308,31,wanita,single,5,PNS,Sarjana,1
0.200374922,35,pria,single,7,Wirausaha,Sarjana,1
0.235785357,27,wanita,single,11,Karyawan Swasta,Sarjana,1
0.257785546,30,pria,menikah,12,Karyawan Swasta,<= SMA,0
0.291488004,31,pria,menikah,5,Karyawan Swasta,Sarjana,0
0.221899691,34,pria,single,14,Lainnya,Sarjana,1
0.21815551,40,wanita,menikah,7,Wirausaha,<= SMA,1
0.221673737,32,pria,lainnya,10,Karyawan Swasta,Sarjana,1
0.24231341,30,wanita,lainnya,5,Wirausaha,Sarjana,0
0.243958078,46,wanita,lainnya,15,Karyawan Swasta,<= SMA,1
0.212739992,37,wanita,single,7,Karyawan Swasta,Sarjana,1
0.230489376,38,pria,menikah,7,Karyawan Swasta,Lainnya,1
0.240936171,34,pria,menikah,8,Lainnya,<= SMA,0
0.208849376,43,wanita,single,3,Wirausaha,<= SMA,1
0.225318746,33,wanita,menikah,9,Karyawan Swasta,Sarjana,1
0.207474786,24,wanita,single,8,Karyawan Swasta,<= SMA,0
0.194467766,27,wanita,menikah,6,Karyawan Swasta,Sarjana,1
0.197167818,28,pria,menikah,3,PNS,Sarjana,1
0.288524215,45,pria,menikah,16,Karyawan Swasta,<= SMA,1
0.266974073,40,pria,lainnya,4,Wirausaha,Sarjana,1
0.237123871,30,pria,lainnya,8,Karyawan Swasta,<= SMA,0
0.225056007,34,pria,lainnya,7,Karyawan Swasta,Lainnya,0
0.281451893,35,pria,lainnya,5,Wirausaha,<= SMA,1
0.260927297,36,pria,menikah,15,PNS,Pascasarjana,1
0.275507255,30,pria,menikah,11,Lainnya,Sarjana,1
0.263548975,39,pria,menikah,21,Karyawan Swasta,Pascasarjana,1
0.245078305,35,pria,single,12,PNS,<= SMA,1
0.231798069,36,wanita,menikah,9,PNS,<= SMA,1
0.21567087,31,wanita,menikah,10,Lainnya,Pascasarjana,0
0.254699353,37,wanita,menikah,16,Lainnya,<= SMA,1
0.263239286,32,wanita,menikah,5,Lainnya,Sarjana,0
0.219271848,30,pria,single,17,Lainnya,Sarjana,1
0.220103741,30,pria,single,9,Karyawan Swasta,Sarjana,1
0.198150475,30,pria,menikah,8,Karyawan Swasta,<= SMA,0
0.21036671,38,pria,single,12,Karyawan Swasta,Pascasarjana,1
0.240559965,35,pria,menikah,11,Karyawan Swasta,Pascasarjana,1
0.242872532,29,wanita,single,15,Karyawan Swasta,Sarjana,1
0.280714967,26,pria,single,11,Lainnya,<= SMA,1
0.247454914,25,pria,menikah,7,Wirausaha,<= SMA,0
0.234550331,30,pria,menikah,9,Lainnya,Sarjana,1
0.2403932,32,wanita,lainnya,13,Wirausaha,<= SMA,0
0.204353961,35,wanita,single,9,Lainnya,Lainnya,1
0.257605851,36,pria,menikah,4,Karyawan Swasta,Sarjana,1
0.251916101,32,pria,menikah,18,Karyawan Swasta,Sarjana,1
0.184497841,29,wanita,menikah,7,Karyawan Swasta,Sarjana,1
0.223731341,31,wanita,menikah,6,Karyawan Swasta,Lainnya,0
0.211797378,33,pria,menikah,7,Karyawan Swasta,<= SMA,0
0.228209264,27,wanita,menikah,4,Wirausaha,<= SMA,0
0.234913109,47,wanita,single,5,Lainnya,Sarjana,1
0.227685598,38,wanita,menikah,7,PNS,<= SMA,1
0.258871776,37,pria,menikah,13,Wirausaha,<= SMA,1
0.212488458,29,wanita,single,8,Lainnya,<= SMA,1
0.225312471,39,wanita,menikah,12,Wirausaha,Lainnya,1
0.254084623,37,wanita,single,34,Lainnya,Sarjana,1
0.22641698,39,wanita,single,8,Karyawan Swasta,Sarjana,1
0.17482484,28,pria,menikah,15,Lainnya,Sarjana,1
0.210199047,35,pria,menikah,4,Lainnya,<= SMA,0
0.185843973,40,wanita,menikah,5,Karyawan Swasta,Sarjana,1
0.229110433,36,wanita,single,7,Karyawan Swasta,<= SMA,1
0.216090646,41,pria,menikah,21,Lainnya,Sarjana,1
0.218854629,40,wanita,single,9,PNS,Sarjana,1
0.217185048,34,pria,single,10,PNS,Sarjana,1
0.188687822,39,pria,single,11,Lainnya,Pascasarjana,1
0.208018904,41,wanita,menikah,8,Karyawan Swasta,Pascasarjana,1
0.185210035,49,wanita,menikah,5,Wirausaha,Sarjana,1
0.250487856,43,wanita,menikah,5,Wirausaha,Lainnya,1
0.271376288,29,pria,menikah,12,Lainnya,<= SMA,0
0.230758486,41,pria,menikah,9,PNS,Pascasarjana,1
0.188977708,36,pria,menikah,3,PNS,Sarjana,1
0.245356808,43,wanita,single,10,Wirausaha,<= SMA,1
0.25534698,41,wanita,lainnya,2,Karyawan Swasta,Sarjana,1
0.215522406,38,pria,single,8,PNS,Sarjana,1
0.206336965,35,pria,menikah,12,Karyawan Swasta,<= SMA,1
0.207148944,38,pria,menikah,11,Wirausaha,Sarjana,1
0.291670159,33,wanita,single,17,Karyawan Swasta,Sarjana,1
0.177965856,27,pria,single,12,Lainnya,Sarjana,1
0.213085817,39,wanita,menikah,10,PNS,Sarjana,1
0.240213752,30,pria,menikah,18,Karyawan Swasta,Sarjana,1
0.241861926,42,wanita,lainnya,3,Wirausaha,Lainnya,1
0.204767597,44,pria,menikah,19,Wirausaha,Sarjana,1
0.294947204,47,wanita,menikah,6,Wirausaha,<= SMA,0
0.204362395,29,wanita,single,3,Karyawan Swasta,Sarjana,1
0.207902268,46,pria,single,7,Wirausaha,Sarjana,1
0.251739592,39,pria,lainnya,11,Wirausaha,Sarjana,1
0.229355946,45,pria,menikah,5,Wirausaha,<= SMA,0
0.251278871,27,pria,menikah,8,Lainnya,Sarjana,0
0.228980132,30,pria,single,10,Karyawan Swasta,<= SMA,1
0.23359639,28,wanita,single,15,Wirausaha,Sarjana,1
0.24459213,34,pria,single,12,Karyawan Swasta,<= SMA,1
0.244094591,36,wanita,single,19,Karyawan Swasta,<= SMA,1
0.233608737,24,wanita,single,3,Karyawan Swasta,Sarjana,1
0.200571026,30,wanita,single,7,Karyawan Swasta,Sarjana,1
0.247832023,29,pria,menikah,9,Wirausaha,<= SMA,0
0.227109226,42,wanita,single,11,Wirausaha,Sarjana,1
0.247415383,40,pria,menikah,11,PNS,Sarjana,1
0.257495802,27,pria,menikah,10,PNS,Lainnya,1
0.220146489,30,pria,menikah,5,PNS,Pascasarjana,0
0.248106163,27,wanita,menikah,11,PNS,<= SMA,0
0.212842077,39,pria,menikah,11,Wirausaha,Sarjana,1
0.237153028,27,pria,menikah,10,Karyawan Swasta,<= SMA,0
0.181317932,29,pria,menikah,10,Lainnya,Sarjana,1
0.261814544,33,wanita,single,6,Karyawan Swasta,<= SMA,0
0.212122836,31,wanita,menikah,15,PNS,Sarjana,1
0.193495551,37,pria,menikah,13,Karyawan Swasta,<= SMA,1
0.220226717,43,wanita,single,6,Wirausaha,Pascasarjana,1
0.294103266,38,pria,menikah,9,Karyawan Swasta,Sarjana,1
0.287815916,33,pria,single,5,Karyawan Swasta,Pascasarjana,1
0.23417438,29,pria,menikah,13,PNS,Sarjana,1
0.235055149,35,pria,menikah,6,Wirausaha,Sarjana,1
0.25220686,36,pria,single,8,Wirausaha,<= SMA,1
0.281474403,36,pria,menikah,12,Wirausaha,Sarjana,1
0.238859441,32,wanita,menikah,4,Lainnya,<= SMA,0
0.192052934,33,pria,menikah,13,PNS,Sarjana,1
0.251660895,49,wanita,menikah,6,Wirausaha,<= SMA,0
0.255866094,28,wanita,single,7,Wirausaha,<= SMA,0
0.217296222,51,pria,menikah,12,Karyawan Swasta,Pascasarjana,1
0.224185105,28,wanita,menikah,11,PNS,Pascasarjana,1
0.210575294,43,wanita,menikah,6,Karyawan Swasta,Lainnya,1
0.223710188,31,wanita,menikah,7,Wirausaha,Sarjana,0
0.218140701,37,wanita,menikah,8,Lainnya,Sarjana,1
0.213889231,24,wanita,menikah,12,Lainnya,Lainnya,1
0.258576206,31,pria,single,11,Karyawan Swasta,Sarjana,1
0.243642725,26,pria,single,6,PNS,Sarjana,1
0.261930383,43,wanita,single,4,PNS,Pascasarjana,1
0.207099291,32,pria,single,8,Karyawan Swasta,<= SMA,1
0.224882312,33,wanita,single,7,Wirausaha,Lainnya,1
